"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"124",2007,710,"131111",12,55,6,1,1,2,93000,31,7390,5,0
"125",2007,9640,"537064",29,25,1,1,6,0,26000,22,6390,2,1
"126",2007,6440,"472150",36,50,1,1,4,0,180000,12,770,2,NA
"127",2007,2310,"252020",26,41,1,2,1,0,31000,21,7860,5,0
"128",2007,230,"119030",13,54,1,2,5,0,31000,31,8470,5,0
"129",2007,9000,"531000",39,47,1,1,1,0,50000,21,1190,2,NA
"130",2007,4230,"372012",39,50,1,2,1,0,3100,21,770,2,1
"131",2007,410,"119141",6,49,1,2,1,0,45000,42,7070,5,1
"132",2007,2920,"274030",6,34,1,2,6,0,36000,42,6570,6,1
"133",2007,350,"119111",41,39,1,2,1,0,30000,42,7970,2,0
"134",2007,9130,"533030",37,49,1,1,1,0,26000,31,7790,2,0
"135",2007,4600,"399011",6,39,1,2,1,3,11900,42,7860,4,1
"136",2007,4700,"411011",9,42,1,1,1,2,70000,11,4670,2,0
"137",2007,4220,"37201X",29,37,1,1,1,0,28000,22,7690,4,1
"138",2007,4820,"413031",17,32,1,2,1,0,46000,21,6970,3,0
"139",2007,4710,"411012",12,26,1,1,6,0,28000,31,4260,2,0
"140",2007,6440,"472150",4,30,1,1,1,3,10000,41,770,2,NA
"141",2007,7700,"511011",29,50,1,1,4,0,70000,22,3170,2,NA
"142",2007,5810,"439021",55,38,1,2,1,0,40000,21,7460,3,1
"143",2007,8830,"519130",47,37,1,2,1,0,20000,32,5380,2,0
"144",2007,1000,"1510XX",55,33,1,1,1,0,62000,21,3380,5,NA
"145",2007,9130,"533030",48,33,1,1,4,0,35000,33,6290,2,0
"146",2007,4110,"353031",45,25,6,1,6,3,26000,31,8680,2,1
"147",2007,9130,"533030",42,21,1,1,6,3,34600,12,4770,1,0
"148",2007,2840,"273042",24,61,1,2,1,0,105000,31,6990,6,1
"149",2007,4850,"414010",25,63,1,1,1,0,45000,11,4580,4,1
"150",2007,1360,"172051",48,37,1,1,1,1,100500,33,7290,5,0
"151",2007,9130,"533030",51,42,1,1,1,0,52000,31,6170,3,1
"152",2007,1020,"151030",51,35,4,2,1,2,48000,31,4170,6,NA
"153",2007,2200,"251000",21,36,1,2,4,0,43030,32,7870,6,NA
"154",2007,9140,"533041",18,69,1,1,1,2,30200,21,8390,3,NA
"155",2007,7750,"512090",24,38,1,1,1,0,30000,31,2980,3,1
"156",2007,210,"119012",19,78,1,1,1,0,23300,22,170,2,NA
"157",2007,6350,"472111",26,51,1,1,1,0,40000,21,770,3,1
"158",2007,6040,"452041",28,38,1,2,1,3,17000,32,1180,2,1
