"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"1",2004,8830,"519130",19,47,1,1,1,0,35000,22,2870,2,0
"2",2004,4760,"412031",13,47,1,2,6,0,30040,31,4870,5,1
"3",2004,4220,"37201X",12,48,1,1,6,0,20200,31,8590,3,1
"4",2004,4720,"412010",24,54,1,2,1,0,14000,31,4970,1,0
"5",2004,5240,"434051",36,36,1,2,1,0,22000,12,6970,4,1
"6",2004,6320,"47207X",20,39,1,1,4,0,35000,22,2570,2,NA
"7",2004,310,"119051",48,41,1,2,1,0,8000,33,8680,3,1
"8",2004,8130,"514111",39,39,1,1,1,0,35000,21,2880,2,0
"9",2004,5620,"435081",19,41,1,1,1,0,56700,22,4970,2,NA
"10",2004,5860,"439061",28,51,1,2,4,0,11000,32,7970,2,0
"11",2004,4720,"412010",39,18,1,1,6,0,2500,21,5070,1,0
"12",2004,5810,"439021",56,41,1,2,3,0,30300,41,9370,3,1
"13",2004,4600,"399011",45,43,1,2,1,0,13300,31,8470,1,0
"14",2004,5700,"436010",39,53,1,2,1,0,22200,21,2290,3,NA
"15",2004,4720,"412010",37,19,1,2,6,0,5000,31,5380,3,1
"16",2004,4110,"353031",9,52,1,2,1,0,9000,11,8590,2,1
"17",2004,560,"131041",27,48,1,1,1,0,58000,22,9370,5,0
"18",2004,5240,"434051",6,50,1,1,1,0,62500,42,8590,5,1
"19",2004,3410,"292050",37,23,1,2,1,0,10300,31,5070,3,NA
"20",2004,4600,"399011",36,47,1,2,6,0,5420,12,9170,4,1
"21",2004,7310,"499021",45,28,1,1,1,0,18000,31,770,2,NA
"22",2004,230,"119030",37,43,1,2,1,0,57000,31,7870,6,1
"23",2004,5120,"433031",6,42,6,2,1,3,18000,42,4780,5,1
"24",2004,3630,"319011",21,28,1,2,6,0,9000,32,8990,3,NA
"25",2004,860,"132053",27,28,1,1,1,0,50000,22,6990,5,0
"26",2004,9130,"533030",55,28,1,1,6,0,22000,21,770,2,0
"27",2004,5000,"431011",39,52,1,1,1,0,54000,21,6370,5,1
"28",2004,9800,"551000",15,22,1,1,1,0,17000,42,9770,2,NA
"29",2004,5400,"434171",53,47,1,2,1,0,40000,42,8190,4,1
"30",2004,2820,"273031",17,51,1,2,1,0,40000,21,7470,5,0
"31",2004,4020,"352010",40,59,1,2,1,0,11000,33,8680,2,1
"32",2004,7210,"493031",46,41,1,1,4,0,24000,22,3570,2,0
"33",2004,4050,"353021",32,44,2,2,3,0,12000,41,5380,2,NA
"34",2004,910,"132070",51,49,1,2,1,0,42000,31,6890,2,0
"35",2004,4600,"399011",12,35,1,2,1,0,48000,31,8470,4,1
"36",2004,540,"131030",36,48,1,1,6,0,75000,12,6990,6,1
"37",2004,5000,"431011",35,39,1,2,4,0,35000,41,6880,5,1
"38",2004,2330,"252040",50,50,1,2,4,0,34400,11,7860,5,NA
"39",2004,620,"131070",17,33,1,2,1,0,60000,21,5080,5,NA
"40",2004,20,"111021",6,56,1,1,1,0,90000,42,470,5,1
"41",2004,6230,"472031",41,62,1,1,4,0,10325,42,770,3,1
"42",2004,3500,"292061",36,52,1,2,4,0,24000,12,8180,3,NA
"43",2004,6520,"472211",40,49,7,2,4,0,53800,33,9590,2,0
"44",2004,2320,"252030",36,55,1,1,1,2,40000,12,7860,6,1
"45",2004,4710,"411012",50,23,1,1,1,0,34000,11,8770,3,1
"46",2004,2430,"254021",31,28,1,2,1,0,30000,22,7870,6,NA
