"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"1",2006,4800,"413011",48,21,1,1,6,3,35000,33,7470,3,1
"2",2006,5860,"439061",6,20,1,2,6,3,2600,42,8090,2,0
"3",2006,5000,"431011",48,43,1,2,4,0,36500,33,6970,3,1
"4",2006,5820,"439022",27,47,1,2,6,1,20000,22,8180,5,1
"5",2006,9240,"534031",49,53,1,1,4,0,82030,41,6080,3,1
"6",2006,10,"1110XX",48,57,1,2,1,0,53000,33,2870,4,0
"7",2006,3700,"331011",18,58,2,1,1,0,89000,21,9470,5,1
"8",2006,3060,"291060",15,48,1,2,2,0,15000,42,8190,7,NA
"9",2006,4760,"412031",24,29,2,1,6,0,52000,31,4790,3,1
"10",2006,7200,"493023",48,45,1,1,2,3,10000,33,8770,2,0
"11",2006,5400,"434171",36,34,1,2,6,0,24000,12,8190,2,0
"12",2006,6230,"472031",26,37,1,1,6,3,20000,21,770,2,0
"13",2006,1020,"151030",53,51,1,1,2,0,240000,42,3590,6,NA
"14",2006,1560,"173031",37,48,7,1,1,0,60000,31,7290,3,1
"15",2006,5700,"436010",25,38,1,2,1,0,38000,11,9470,3,NA
"16",2006,6200,"471011",15,35,1,1,1,0,45000,42,770,2,0
"17",2006,4500,"395011",22,19,2,1,6,0,9200,33,7080,3,NA
"18",2006,5620,"435081",15,64,5,1,6,0,115000,42,4970,2,NA
"19",2006,4850,"414010",13,53,6,1,1,2,59000,31,4470,6,1
"20",2006,4110,"353031",6,24,6,2,6,3,24000,42,8590,2,1
"21",2006,1820,"193030",11,32,1,2,1,0,145000,31,8080,6,NA
"22",2006,9130,"533030",29,30,1,1,1,0,40000,22,6170,3,1
"23",2006,20,"111021",34,36,1,2,6,0,65000,12,6890,4,0
"24",2006,2540,"259041",5,57,1,2,1,0,14800,33,7860,2,NA
"25",2006,4220,"37201X",13,31,7,1,2,3,15000,31,7690,1,0
"26",2006,3600,"311010",37,37,1,2,6,0,9000,31,8170,1,NA
"27",2006,6260,"472061",37,19,1,1,6,0,11000,31,770,2,1
"28",2006,8130,"514111",39,40,1,1,6,0,57000,21,3570,4,1
"29",2006,3060,"291060",27,54,1,1,1,0,422000,22,8190,7,NA
"30",2006,4700,"411011",17,30,7,2,6,0,55400,21,5380,5,1
"31",2006,5220,"434031",39,25,1,1,1,0,40000,21,9470,3,1
"32",2006,6260,"472061",42,21,1,1,6,0,30000,12,770,2,1
"33",2006,5700,"436010",6,62,1,2,1,0,20000,42,7860,4,NA
