"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"1",2009,3740,"332011",48,53,1,1,1,0,22400,33,9470,3,NA
"2",2009,5550,"435052",6,58,1,1,1,0,50000,42,6370,3,1
"3",2009,430,"1191XX",48,34,7,1,6,3,20000,33,3570,5,NA
"4",2009,9120,"533020",27,67,1,1,1,0,22700,22,7860,2,NA
"5",2009,3130,"291111",50,57,1,1,1,0,44000,11,8190,5,NA
"6",2009,9130,"533030",48,53,1,1,1,3,30000,33,6170,1,0
"7",2009,430,"1191XX",19,35,1,2,1,0,76700,22,1990,4,NA
"8",2009,6660,"474011",16,59,1,2,3,0,15204,41,9570,3,1
"9",2009,910,"132070",24,38,1,1,1,0,45000,31,7870,5,1
"10",2009,430,"1191XX",48,39,1,2,1,0,101000,33,570,5,NA
"11",2009,2630,"271020",36,36,6,2,1,3,75000,12,7370,5,NA
"12",2009,2200,"251000",26,34,1,1,1,2,85000,21,7870,7,NA
"13",2009,800,"132011",53,28,1,2,1,0,37000,42,6470,5,0
"14",2009,9000,"531000",37,39,1,1,1,0,46200,31,6170,2,NA
"15",2009,710,"131111",25,44,1,1,1,3,150000,11,7390,6,1
"16",2009,9620,"537062",16,44,1,1,2,3,6400,41,470,1,0
"17",2009,4720,"412010",22,32,1,2,3,0,8000,33,4970,2,0
"18",2009,4840,"413099",16,58,1,1,1,0,51300,41,7390,5,NA
"19",2009,800,"132011",13,33,2,2,1,0,29000,31,9160,2,0
"20",2009,4520,"395090",6,48,1,2,4,0,22000,42,7970,2,NA
"21",2009,4760,"412031",12,60,1,2,1,0,13000,31,5580,6,1
"22",2009,9130,"533030",30,51,1,1,3,0,46000,41,6290,2,0
"23",2009,130,"113040",35,45,1,2,1,0,81000,41,3390,6,NA
"24",2009,5860,"439061",5,31,1,2,1,0,40000,33,9370,5,1
"25",2009,4150,"359031",13,22,1,2,4,0,3500,31,8680,1,0
"26",2009,4150,"359031",37,17,1,2,6,0,12000,31,8680,1,0
"27",2009,4020,"352010",37,19,2,1,6,0,300,31,8680,2,1
"28",2009,120,"113031",39,40,1,1,1,0,115000,21,6870,5,0
"29",2009,9620,"537062",28,16,1,1,6,0,1200,32,8590,1,0
"30",2009,4810,"413021",17,47,1,1,1,2,39000,21,6990,2,0
"31",2009,2310,"252020",39,31,1,1,6,0,43000,21,7860,5,0
"32",2009,4020,"352010",42,43,1,1,6,0,38000,12,8680,3,1
"33",2009,230,"119030",6,63,1,2,1,0,36200,42,8470,3,0
"34",2009,2310,"252020",12,33,1,2,6,0,43400,31,7860,6,1
"35",2009,2310,"252020",6,45,1,1,6,3,60000,42,7860,5,0
"36",2009,8140,"514120",39,23,1,1,1,0,14100,21,3570,3,1
"37",2009,5240,"434051",34,40,2,1,1,0,30000,12,7070,5,1
"38",2009,4710,"411012",6,52,1,1,1,0,50000,42,8770,6,1
"39",2009,1110,"151081",17,34,1,2,1,0,108000,21,7460,6,NA
"40",2009,3600,"311010",55,66,1,2,1,0,20000,21,8270,2,NA
"41",2009,3410,"292050",20,30,1,2,6,0,20400,22,5070,3,NA
"42",2009,5620,"435081",26,19,1,1,6,0,2000,21,4970,3,NA
"43",2009,5540,"435051",26,70,1,1,1,0,34600,21,6370,2,0
"44",2009,1550,"173020",6,32,7,1,1,0,60000,42,6680,4,NA
"45",2009,5240,"434051",31,55,1,2,1,0,12000,22,5070,2,0
"46",2009,4720,"412010",36,49,1,1,1,3,18000,12,4970,2,0
"47",2009,200,"119011",55,33,1,1,6,0,40000,21,180,4,NA
"48",2009,4510,"395012",19,23,1,2,6,0,900,22,8980,3,NA
"49",2009,5000,"431011",48,44,1,1,6,0,91000,33,6990,5,1
"50",2009,5000,"431011",37,57,1,2,1,0,24140,31,3960,3,1
"51",2009,3010,"291020",42,53,1,2,1,0,1e+05,12,7980,7,0
"52",2009,120,"113031",26,66,1,2,1,0,26700,21,9380,5,0
"53",2009,4410,"393021",13,21,1,1,6,0,10000,31,6570,2,1
"54",2009,4700,"411011",17,30,1,1,1,2,1e+05,21,4970,5,1
"55",2009,5400,"434171",25,22,7,2,6,0,36300,11,7870,4,1
"56",2009,5400,"434171",12,37,2,2,1,0,32000,31,1590,2,0
"57",2009,4030,"352021",54,36,1,2,4,0,1000,31,8680,2,1
"58",2009,140,"113051",27,37,1,1,1,0,83000,22,1990,4,0
"59",2009,3410,"292050",32,40,6,1,6,2,35000,41,5070,2,NA
"60",2009,3010,"291020",48,33,1,1,1,0,614000,33,7980,7,0
"61",2009,8960,"5191XX",17,53,1,1,1,2,40000,21,3980,3,NA
