"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"1",2005,430,"119190",51,40,1,1,1,0,90500,31,9590,6,NA
"2",2005,8960,"5191XX",6,41,2,1,4,0,40000,42,2190,4,NA
"3",2005,7200,"493023",48,32,1,1,6,0,3500,33,5090,3,1
"4",2005,5700,"436010",28,63,1,2,1,0,17000,32,4370,2,NA
"5",2005,1000,"1510XX",53,66,1,1,4,0,80000,42,7380,6,NA
"6",2005,4110,"353031",51,39,1,2,6,0,21000,31,8680,2,1
"7",2005,4230,"372012",20,69,1,2,5,0,27400,22,8270,1,0
"8",2005,8640,"519010",17,36,2,1,1,0,7000,21,2290,5,1
"9",2005,4850,"414010",25,57,1,1,1,0,68000,11,4585,4,1
"10",2005,6230,"472031",50,47,1,1,1,0,28000,11,770,2,0
"11",2005,3130,"291111",37,58,1,1,3,0,43000,31,8190,5,NA
"12",2005,3600,"311010",27,49,1,2,1,0,55000,22,8270,3,NA
"13",2005,2630,"271020",55,30,1,1,1,0,39910,21,3070,3,NA
"14",2005,8220,"514XXX",39,35,1,2,4,0,16550,21,3570,2,NA
"15",2005,3300,"292010",26,49,1,2,1,0,33060,21,8190,2,NA
"16",2005,4840,"413099",17,24,1,2,6,0,37000,21,7780,5,NA
"17",2005,5240,"434051",24,18,7,2,6,3,17020,31,6870,2,0
"18",2005,3130,"291111",17,70,1,2,5,0,28700,21,8190,5,NA
"19",2005,2310,"252020",13,43,1,2,1,0,45000,31,7860,5,0
"20",2005,6230,"472031",6,58,7,1,1,0,50000,42,770,1,0
"21",2005,4110,"353031",12,31,1,2,1,0,21000,31,8680,3,1
"22",2005,5700,"436010",32,36,1,2,4,0,10000,41,770,3,NA
"23",2005,4600,"399011",36,34,1,2,1,2,3000,12,7860,2,0
"24",2005,5550,"435052",5,35,1,1,1,0,50000,33,6370,2,0
"25",2005,4250,"373010",13,36,1,1,1,0,53000,31,7770,1,NA
"26",2005,4020,"352010",37,49,1,2,1,0,8400,31,7860,3,1
"27",2005,6230,"472031",39,18,1,1,6,0,16100,21,770,2,0
"28",2005,5700,"436010",40,58,1,2,1,0,28000,33,8190,3,NA
"29",2005,5620,"435081",29,41,1,1,6,0,35000,22,4070,2,NA
"30",2005,8030,"514041",18,35,1,1,1,0,31000,21,2170,3,1
"31",2005,5000,"431011",41,32,1,2,1,0,55000,42,8180,2,0
"32",2005,210,"119012",46,51,1,1,1,0,60000,22,170,3,NA
"33",2005,4850,"414010",6,22,7,1,1,3,12000,42,1180,1,0
"34",2005,1560,"173031",12,26,1,1,3,0,4800,31,770,2,0
"35",2005,4020,"352010",6,54,2,1,1,0,34000,42,8190,1,0
"36",2005,5700,"436010",41,55,1,2,4,0,44500,42,7380,3,NA
"37",2005,5700,"436010",34,44,1,2,1,0,40500,12,7860,3,NA
"38",2005,8810,"519120",6,48,1,1,1,3,14400,42,3490,1,0
"39",2005,6200,"471011",17,47,1,1,1,0,90000,21,770,4,1
"40",2005,5520,"435030",21,38,1,1,1,0,36100,32,6170,3,NA
"41",2005,3130,"291111",26,58,1,2,1,0,6200,21,8190,5,NA
"42",2005,1460,"172141",26,31,1,1,1,0,65000,21,3570,5,0
"43",2005,4020,"352010",6,35,1,2,2,3,8600,42,8680,1,0
"44",2005,6260,"472061",33,22,1,1,6,0,18000,11,770,1,0
"45",2005,4020,"352010",36,33,7,2,6,0,18000,12,4980,2,1
"46",2005,7000,"491011",21,52,1,1,1,0,61787,32,7290,2,0
"47",2005,5110,"433021",48,42,1,2,1,0,18000,33,7970,1,0
"48",2005,150,"113061",39,46,1,1,1,0,78000,21,2370,6,1
"49",2005,6050,"4520XX",45,27,2,1,6,0,1500,31,170,1,0
"50",2005,5120,"433031",27,45,1,2,1,0,5000,22,170,3,1
"51",2005,3060,"291060",13,54,1,1,1,0,375000,31,8190,7,NA
"52",2005,5120,"433031",17,51,1,2,5,0,40000,21,4770,3,1
"53",2005,4850,"414010",25,55,1,1,1,0,12360,11,4470,6,1
"54",2005,2310,"252020",13,27,6,2,6,0,30000,31,7860,5,0
"55",2005,8630,"518090",28,52,1,1,1,0,92060,32,2070,6,1
"56",2005,2830,"273041",34,41,1,1,1,0,75000,12,7890,6,1
"57",2005,5120,"433031",48,49,1,2,4,0,40000,33,770,3,1
"58",2005,5600,"435061",17,39,1,2,1,0,40000,21,6180,2,0
"59",2005,5820,"439022",18,22,1,2,1,0,10000,21,6990,3,1
"60",2005,9130,"533030",41,36,1,1,6,0,7000,42,2570,2,0
"61",2005,5700,"436010",49,41,1,2,1,0,4000,41,8090,4,NA
"62",2005,1550,"173020",53,41,1,1,4,0,49000,42,3490,3,NA
"63",2005,9620,"537062",17,50,1,1,6,0,74000,21,4970,3,1
"64",2005,910,"132070",4,28,1,2,6,0,60000,41,6890,5,1
"65",2005,5840,"439041",53,53,1,2,4,0,47700,42,6990,2,0
"66",2005,6230,"472031",42,60,1,1,1,0,29400,12,770,5,1
"67",2005,1410,"172070",41,47,1,1,1,0,1e+05,42,3360,5,0
"68",2005,6200,"471011",18,49,1,2,1,0,13701,21,770,2,0
"69",2005,9130,"533030",53,20,1,2,6,0,12020,42,4870,2,0
"70",2005,5120,"433031",26,46,1,2,1,0,24000,21,4570,3,1
"71",2005,7310,"499021",55,61,1,1,1,0,55060,21,570,3,NA
"72",2005,4040,"353011",19,60,1,2,1,0,82000,22,8680,2,1
"73",2005,6440,"472150",6,54,1,1,1,0,49000,42,770,5,NA
"74",2005,2140,"232011",36,24,1,2,6,0,35000,12,7270,3,0
"75",2005,4110,"353031",12,43,1,2,1,0,5000,31,8680,5,1
"76",2005,4600,"399011",19,35,1,2,1,0,3000,22,8470,4,1
"77",2005,350,"119111",9,34,1,2,4,0,85000,11,8270,6,1
"78",2005,6230,"472031",6,42,1,1,4,0,11300,42,4270,3,1
"79",2005,5400,"434171",21,36,1,2,1,3,11000,32,7480,2,0
"80",2005,4110,"353031",48,20,7,2,6,0,1200,33,8680,2,1
"81",2005,3640,"319091",17,23,1,2,6,0,15000,21,7980,2,NA
"82",2005,3850,"333050",4,31,1,2,1,0,55000,41,9590,5,NA
"83",2005,5700,"436010",48,38,1,2,1,0,17000,33,4270,2,NA
"84",2005,2100,"231011",36,35,4,2,1,0,75300,12,9470,6,0
"85",2005,5620,"435081",29,20,2,1,6,0,9600,22,5380,2,NA
"86",2005,4230,"372012",51,54,1,2,3,0,18000,31,8290,1,0
"87",2005,2340,"253000",17,23,1,2,6,0,500,21,7870,3,NA
"88",2005,4050,"353021",25,47,1,2,1,0,11000,11,4970,3,NA
"89",2005,5700,"436010",36,56,1,2,1,0,46000,12,1480,3,NA
"90",2005,5510,"435021",47,41,1,2,2,0,23000,32,6380,5,1
"91",2005,8220,"514XXX",45,40,2,1,1,0,43900,31,3570,2,NA
"92",2005,430,"119190",53,49,1,1,1,0,46800,42,770,5,NA
"93",2005,5700,"436010",48,44,1,2,1,0,48000,33,9160,4,NA
"94",2005,7200,"493023",44,30,1,1,1,0,19000,11,8770,2,0
"95",2005,8030,"514041",12,56,1,1,1,0,33500,31,2370,2,0
"96",2005,5240,"434051",51,51,1,2,1,0,33200,31,8090,6,1
"97",2005,2140,"232011",5,24,1,2,1,0,22000,33,7270,5,1
"98",2005,9200,"534010",8,52,1,1,6,0,40030,41,6080,2,NA
"99",2005,9610,"537061",5,26,2,1,1,0,30000,33,4670,2,1
"100",2005,5000,"431011",20,23,1,1,6,0,10800,22,6470,2,0
