"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"1",2011,4020,"352010",48,50,6,2,1,3,14400,33,8270,1,0
"2",2011,565,"131041",6,29,1,2,1,2,44000,42,8380,5,0
"3",2011,9120,"533020",48,58,1,1,5,0,14300,33,7860,1,NA
"4",2011,6230,"472031",28,56,1,1,4,0,56000,32,770,4,1
"5",2011,3320,"292030",51,36,6,2,1,2,40000,31,8190,4,NA
"6",2011,2200,"251000",49,69,1,2,6,0,120400,41,7870,7,NA
"7",2011,205,"119013",19,54,1,1,1,0,50500,22,170,4,1
"8",2011,9130,"533030",17,72,1,1,1,0,23500,21,4970,1,0
"9",2011,3600,"311010",25,37,1,2,1,0,85000,11,8190,5,NA
"10",2011,5550,"435052",48,53,1,2,1,0,63000,33,6370,3,1
"11",2011,10,"1110XX",36,33,1,1,6,0,150000,12,7370,5,0
"12",2011,1965,"1940YY",27,20,1,1,6,0,3530,22,7870,3,NA
"13",2011,6355,"472111",54,42,1,1,1,0,50000,31,4170,3,1
"14",2011,3255,"291141",39,25,1,2,6,0,50000,21,8090,5,NA
"15",2011,7315,"499021",25,28,1,1,6,0,40000,11,770,2,NA
"16",2011,4760,"412031",17,44,1,1,1,0,120000,21,4690,2,1
"17",2011,4500,"395011",24,61,1,1,2,3,9400,31,8970,1,NA
"18",2011,5860,"439061",17,49,2,1,6,0,20000,21,6870,2,0
"19",2011,6420,"472141",13,27,2,1,1,0,77000,31,770,2,1
"20",2011,5620,"435081",6,49,1,1,6,0,33750,42,4870,4,NA
"21",2011,410,"119141",12,47,1,2,1,0,38400,31,7070,3,1
"22",2011,430,"119XXX",32,43,1,1,1,3,63000,41,9590,2,NA
"23",2011,3600,"311010",36,36,1,2,1,0,40000,12,8190,3,NA
"24",2011,810,"132021",5,58,1,1,1,0,45000,33,7070,7,NA
"25",2011,3255,"291141",13,44,1,2,1,0,65000,31,8190,4,NA
"26",2011,6230,"472031",37,56,1,1,1,0,82000,31,770,4,1
"27",2011,4760,"412031",37,57,1,1,1,0,87000,31,4680,2,1
"28",2011,4020,"352010",40,24,2,1,6,0,8000,33,8680,5,1
"29",2011,3255,"291141",29,28,1,2,1,0,50000,22,8190,4,NA
"30",2011,4850,"414010",17,55,1,1,1,0,90000,21,4470,5,1
"31",2011,3420,"292050",40,27,1,2,1,0,1200,33,5070,3,NA
"32",2011,5610,"435071",45,35,1,1,6,0,14000,31,1690,2,0
"33",2011,800,"132011",6,47,1,2,4,0,60000,42,6990,5,0
"34",2011,2600,"271010",12,52,1,1,4,0,50000,31,8560,3,1
"35",2011,1530,"1721YY",6,37,6,2,6,3,107100,42,3390,6,1
"36",2011,4710,"411012",40,43,1,1,1,0,547000,33,6970,6,1
"37",2011,4110,"353031",34,33,4,2,4,3,8000,12,8680,3,1
"38",2011,430,"119XXX",6,45,8,1,4,0,65000,42,9570,4,NA
"39",2011,800,"132011",17,31,1,1,6,0,35000,21,7280,7,1
"40",2011,205,"119013",55,52,1,1,1,0,150000,21,180,2,0
"41",2011,4300,"391010",21,22,1,2,6,0,3400,32,8590,3,NA
