"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"1",2008,3600,"311010",48,24,1,2,6,0,35000,33,8190,3,NA
"2",2008,5020,"432021",6,37,1,2,6,3,19000,42,7590,3,1
"3",2008,3920,"339030",47,34,1,1,6,0,20000,32,1870,3,NA
"4",2008,7840,"513092",26,28,1,1,1,0,35000,21,1170,6,1
"5",2008,9130,"533030",48,37,1,1,6,0,34000,33,6290,1,0
"6",2008,6200,"471011",55,26,1,1,1,0,55000,21,770,3,1
"7",2008,4720,"412010",48,29,2,2,6,0,3600,33,8680,2,0
"8",2008,2630,"271020",18,47,6,1,4,2,32000,21,7370,5,NA
"9",2008,3130,"291111",13,49,1,2,1,0,42000,31,7970,4,NA
"10",2008,8220,"514XXX",23,63,1,1,1,0,40000,11,3890,2,NA
"11",2008,4110,"353031",48,41,7,2,1,3,22000,33,8680,1,0
"12",2008,7750,"512090",36,46,1,2,1,0,38000,12,2790,2,0
"13",2008,1650,"191040",26,56,1,1,1,0,58450,21,7870,7,1
"14",2008,6050,"4520XX",51,54,1,1,1,0,14000,31,170,2,0
"15",2008,5240,"434051",37,67,1,2,5,0,65000,31,3890,2,0
"16",2008,800,"132011",24,54,1,2,6,0,1e+05,31,9490,6,1
"17",2008,5620,"435081",13,62,1,1,1,0,15400,31,5380,2,NA
"18",2008,5860,"439061",21,41,1,2,1,0,22100,32,9480,3,1
"19",2008,620,"131070",13,30,2,2,1,0,63260,31,7580,6,NA
"20",2008,2310,"252020",13,52,1,2,1,0,38000,31,7860,5,0
"21",2008,2330,"252040",6,44,1,2,1,0,66000,42,7860,6,NA
"22",2008,4700,"411011",9,34,1,2,1,0,18000,11,5580,5,1
"23",2008,4720,"412010",29,67,1,2,4,0,23900,22,8680,1,0
"24",2008,6200,"471011",34,35,1,1,1,0,57500,12,770,2,0
"25",2008,5160,"433071",5,22,1,1,6,0,20000,33,6880,3,1
"26",2008,7420,"499052",13,49,1,1,1,0,75000,31,6670,4,1
"27",2008,110,"113021",36,47,1,1,1,0,86000,12,4190,5,0
"28",2008,2540,"259041",36,49,1,2,1,0,18100,12,7860,5,NA
"29",2008,2200,"251000",39,70,1,1,1,0,85400,21,7870,6,NA
"30",2008,50,"112020",27,58,1,1,1,0,58070,22,290,5,NA
"31",2008,5140,"433051",55,62,1,2,1,0,32600,21,6970,2,0
"32",2008,3050,"291051",17,52,6,1,1,2,140400,21,5070,5,0
"33",2008,2340,"253000",39,19,2,2,6,0,4000,21,7870,3,NA
"34",2008,9130,"533030",55,72,1,1,1,0,60000,21,6170,3,1
"35",2008,7800,"513011",42,17,1,2,6,0,400,12,1270,1,0
"36",2008,9130,"533030",6,51,7,1,1,2,20300,42,2390,1,0
"37",2008,8740,"519061",9,48,1,1,1,0,70000,11,3580,3,1
"38",2008,1760,"192099",6,55,1,1,1,0,110000,42,7870,7,1
"39",2008,4620,"399030",39,60,1,2,6,0,28680,21,8270,2,NA
"40",2008,4030,"352021",32,18,1,1,6,0,9600,41,5370,2,1
"41",2008,5120,"433031",6,34,7,2,1,3,28000,42,4870,3,1
"42",2008,5240,"434051",15,31,6,2,1,0,33000,42,6990,4,1
"43",2008,7700,"511011",51,44,1,1,1,0,31000,31,1180,2,NA
"44",2008,8140,"514120",19,36,1,1,6,0,28000,22,8870,3,1
"45",2008,9620,"537062",25,55,1,1,1,0,24000,11,6170,3,1
"46",2008,100,"113011",25,38,1,2,1,0,89000,11,6970,5,NA
"47",2008,1460,"172141",6,33,4,1,1,0,95000,42,3570,6,1
"48",2008,220,"119021",55,41,1,1,1,0,57000,21,770,3,0
"49",2008,8220,"514XXX",29,54,1,1,1,0,37400,22,3490,2,NA
"50",2008,3920,"339030",36,19,1,1,6,0,7500,12,8590,3,NA
"51",2008,50,"112020",53,53,1,1,1,0,120320,42,3190,5,NA
"52",2008,910,"132070",18,60,1,2,1,0,57000,21,6890,3,1
"53",2008,5620,"435081",48,30,2,2,1,0,35000,33,7780,3,NA
"54",2008,120,"113031",36,61,1,2,1,2,75000,12,7580,5,0
"55",2008,5620,"435081",41,36,1,1,1,0,31000,42,4970,2,NA
"56",2008,4760,"412031",26,27,1,2,6,0,12600,21,5380,4,1
"57",2008,4720,"412010",12,29,2,1,6,0,16600,31,5790,3,1
"58",2008,4650,"399099",15,19,8,2,6,0,580,42,6290,3,NA
"59",2008,6320,"47207X",24,59,2,1,1,0,38000,31,770,1,NA
"60",2008,850,"132052",12,50,1,1,1,0,150000,31,6970,5,0
"61",2008,7620,"49909X",51,50,1,1,1,0,36000,31,470,4,NA
"62",2008,7020,"492020",26,65,1,1,1,0,48000,21,1870,3,0
"63",2008,6320,"47207X",29,28,1,1,6,0,15000,22,770,2,NA
"64",2008,7750,"512090",48,47,1,1,1,0,75000,33,3570,2,0
"65",2008,9130,"533030",17,52,1,1,1,0,167000,21,6170,3,1
"66",2008,1000,"1510XX",17,41,1,1,1,0,67000,21,6970,5,NA
"67",2008,3130,"291111",39,61,1,2,1,0,48000,21,8080,7,NA
"68",2008,2310,"252020",48,27,1,2,6,0,45000,33,7860,6,1
"69",2008,430,"1191XX",48,54,2,1,1,0,120000,33,8390,5,NA
"70",2008,5540,"435051",17,59,1,2,1,0,52000,21,6370,2,0
"71",2008,1300,"171010",4,68,1,2,1,0,22500,41,7290,6,NA
"72",2008,6230,"472031",48,26,8,1,1,1,20000,33,770,3,1
"73",2008,6730,"474051",39,50,1,1,1,0,42300,21,770,2,0
"74",2008,230,"119030",54,51,1,2,5,0,64400,31,8470,3,0
"75",2008,2200,"251000",39,25,4,2,6,3,3000,21,7870,5,NA
"76",2008,1460,"172141",17,25,1,1,6,0,63000,21,3190,5,0
"77",2008,4760,"412031",48,45,1,2,4,0,10100,33,5380,2,1
"78",2008,5930,"439XXX",55,54,6,1,1,0,88800,21,590,2,NA
"79",2008,3160,"291123",25,62,1,2,1,0,4000,11,8090,5,0
"80",2008,2720,"272020",49,44,1,1,1,0,4000,41,8560,5,NA
"81",2008,220,"119021",18,33,1,1,1,0,69000,21,770,4,0
"82",2008,6050,"4520XX",51,48,2,1,3,0,8000,31,170,1,0
"83",2008,2310,"252020",6,62,1,2,4,0,70000,42,7860,6,1
"84",2008,5510,"435021",34,44,1,1,1,0,38000,12,6380,3,1
"85",2008,5240,"434051",12,23,1,2,6,0,21000,31,6070,2,0
"86",2008,4850,"414010",18,38,1,2,1,0,40000,21,3570,5,1
"87",2008,4700,"411011",8,56,1,2,6,0,49000,41,5170,4,1
"88",2008,5820,"439022",51,24,2,2,6,0,4800,31,7870,3,1
"89",2008,140,"113051",5,36,1,1,1,0,86500,33,7460,6,1
"90",2008,8740,"519061",18,31,1,1,1,0,50000,21,7790,3,1
"91",2008,5000,"431011",42,47,1,1,1,0,62000,12,7590,2,0
"92",2008,6350,"472111",51,50,1,1,1,2,65000,31,7390,2,0
"93",2008,810,"132021",17,57,1,2,4,0,50000,21,9470,2,NA
"94",2008,7330,"49904X",55,41,1,1,1,0,45000,21,3870,3,1
"95",2008,6200,"471011",4,55,1,1,1,0,-9999,41,770,2,0
"96",2008,8140,"514120",47,56,1,1,1,0,26010,32,2980,2,0
"97",2008,2020,"211090",51,57,2,2,6,0,50000,31,9470,6,NA
"98",2008,7810,"513020",34,46,1,2,3,3,11000,12,180,2,1
"99",2008,860,"132053",27,50,1,1,6,0,69000,22,6990,3,0
"100",2008,5240,"434051",48,52,1,2,1,0,35000,33,3390,3,1
"101",2008,2100,"2310XX",15,58,1,1,1,0,318050,42,7270,7,0
"102",2008,4750,"412022",23,47,1,1,4,0,39000,11,4670,2,1
"103",2008,6350,"472111",36,62,1,1,1,0,77500,12,1870,3,1
"104",2008,3130,"291111",42,58,1,2,1,0,14900,12,7860,3,NA
"105",2008,3500,"292061",42,40,1,2,6,0,20000,12,8190,5,NA
"106",2008,3650,"31909X",51,51,6,2,1,3,30000,31,8270,2,NA
"107",2008,7200,"493023",48,39,1,1,1,3,65000,33,4670,2,0
"108",2008,4700,"411011",42,22,1,1,6,0,3500,12,5270,5,1
"109",2008,5700,"436010",41,54,1,2,1,0,66130,42,3960,5,NA
"110",2008,2400,"254010",12,30,1,2,6,0,30000,31,8570,6,1
"111",2008,2340,"253000",48,49,2,2,4,0,56000,33,6870,6,NA
"112",2008,4250,"373010",5,42,1,1,1,0,19500,33,7860,2,NA
"113",2008,8500,"517011",6,47,7,1,1,0,80000,42,3890,2,0
"114",2008,6230,"472031",5,29,1,1,4,0,30000,33,770,2,0
"115",2008,5510,"435021",51,37,1,1,1,0,59000,31,6380,4,1
"116",2008,20,"111021",18,58,1,1,1,0,76000,21,7770,5,1
"117",2008,2010,"211020",33,66,1,2,1,0,10100,11,8370,6,NA
"118",2008,5400,"434171",24,45,2,2,6,0,23000,31,8180,3,1
"119",2008,3130,"291111",12,44,1,2,1,2,40000,31,8190,5,NA
"120",2008,4720,"412010",39,18,1,2,6,0,1000,21,8590,1,0
"121",2008,2540,"259041",53,29,1,2,6,0,7400,42,7870,3,NA
"122",2008,3240,"291129",53,42,1,2,1,0,64000,42,8090,7,NA
"123",2008,3850,"333050",51,44,1,2,1,0,118000,31,9480,6,NA
"124",2008,4700,"411011",17,47,1,1,1,0,257500,21,5592,5,1
"125",2008,2310,"252020",42,33,1,2,6,0,52000,12,7860,6,1
"126",2008,2100,"2310XX",41,38,1,1,1,0,61000,42,9470,7,0
"127",2008,2720,"272020",6,30,1,1,6,2,20000,42,7890,3,NA
"128",2008,9620,"537062",6,52,7,1,1,3,13400,42,4970,1,0
"129",2008,4810,"413021",45,60,1,1,1,0,63500,31,6990,5,1
"130",2008,6600,"473010",12,48,1,1,3,0,8000,31,770,2,1
"131",2008,3130,"291111",28,43,1,2,1,0,55000,32,8190,5,NA
"132",2008,3500,"292061",36,46,2,2,4,2,44900,12,8270,2,NA
"133",2008,3060,"291060",25,39,1,2,1,2,210000,11,7970,7,NA
"134",2008,9640,"537064",13,48,6,2,1,3,32000,31,1680,1,0
"135",2008,4760,"412031",39,40,1,2,1,0,30000,21,5580,5,1
"136",2008,2630,"271020",39,32,1,1,1,2,43000,21,7370,5,NA
"137",2008,50,"112020",6,53,1,2,1,0,101000,42,7070,2,NA
"138",2008,2600,"271010",6,49,1,1,1,3,60000,42,8560,3,1
"139",2008,2310,"252020",40,56,1,1,1,0,44000,33,7860,6,1
"140",2008,4840,"413099",36,35,1,1,1,0,60000,12,7380,5,NA
"141",2008,4700,"411011",6,58,1,1,4,0,50000,42,4180,4,1
"142",2008,430,"1191XX",8,37,1,1,1,0,160000,41,770,5,NA
"143",2008,4020,"352010",55,22,1,1,6,0,15000,21,8660,2,1
"144",2008,800,"132011",28,44,1,2,1,0,52000,32,9160,5,0
"145",2008,5120,"433031",17,63,1,2,4,0,40100,21,770,2,0
"146",2008,4720,"412010",12,21,2,2,6,0,8200,31,8680,1,0
"147",2008,4220,"37201X",4,37,7,2,1,3,20000,41,5380,2,0
"148",2008,5000,"431011",29,29,1,1,6,0,36000,22,6695,5,1
"149",2008,6840,"475040",53,41,1,1,1,0,55000,42,390,2,NA
"150",2008,5350,"434XXX",45,58,1,1,1,0,17000,31,3980,3,1
"151",2008,4810,"413021",53,49,1,1,1,0,95050,42,6990,5,1
"152",2008,1360,"172051",48,31,1,2,1,0,12000,33,7290,5,0
"153",2008,800,"132011",42,28,1,1,6,0,14510,12,7780,4,0
"154",2008,1020,"151030",42,32,1,1,6,0,86500,12,7380,6,NA
"155",2008,2000,"211010",24,62,1,2,1,0,71000,31,7860,6,NA
"156",2008,5240,"434051",25,39,2,2,6,3,35000,11,6970,3,1
"157",2008,530,"131023",48,40,7,2,6,0,60000,33,6180,5,NA
"158",2008,730,"131XXX",48,37,7,2,1,0,44200,33,9670,2,NA
"159",2008,800,"132011",48,42,1,1,4,0,310000,33,7280,6,1
