"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"1",2010,1030,"151134",48,53,1,2,6,0,57900,33,6870,5,NA
"2",2010,4020,"352010",6,28,1,1,6,3,16600,42,8680,2,1
"3",2010,4110,"353031",48,22,1,1,6,0,8600,33,8680,3,1
"4",2010,4510,"395012",27,37,1,2,1,3,10000,22,8980,6,NA
"5",2010,6230,"472031",51,56,1,1,1,0,50400,31,8190,4,1
"6",2010,5850,"439051",48,44,1,1,4,0,35000,33,7590,2,0
"7",2010,2720,"272020",19,17,1,2,6,0,800,22,9170,1,NA
"8",2010,3110,"291071",17,24,1,2,6,0,28000,21,8190,4,0
"9",2010,5000,"431011",24,40,2,2,4,0,42000,31,6380,3,1
"10",2010,4740,"412021",48,31,1,1,1,2,28000,33,6070,2,1
"11",2010,4610,"399021",36,56,8,2,2,0,10100,12,9290,2,NA
"12",2010,6260,"472061",27,29,1,1,6,0,19400,22,770,2,1
"13",2010,1010,"151131",53,25,1,1,6,0,80020,42,5590,5,NA
"14",2010,220,"119021",39,62,1,1,4,0,33000,21,770,5,1
"15",2010,350,"119111",25,50,1,2,1,0,146000,11,8190,6,1
"16",2010,2040,"212011",17,55,1,1,1,0,41400,21,9160,6,1
"17",2010,530,"131023",23,47,1,1,1,0,12000,11,8680,1,NA
"18",2010,7700,"511011",17,46,1,1,1,0,80000,21,2690,2,NA
"19",2010,4610,"399021",13,73,2,2,6,0,23200,31,9290,1,NA
"20",2010,1007,"151122",6,49,1,1,4,0,85000,42,7380,6,NA
"21",2010,2310,"252020",12,39,1,2,1,0,44000,31,7860,6,1
"22",2010,9130,"533030",31,49,1,1,1,0,34000,22,6170,1,0
"23",2010,20,"111021",36,49,1,1,1,0,88000,12,5590,5,1
"24",2010,9600,"537051",5,23,1,1,1,0,28800,33,4090,2,1
"25",2010,3420,"292050",13,28,1,2,6,0,26000,31,7480,3,NA
"26",2010,430,"119XXX",37,47,1,1,1,0,140000,31,770,5,NA
"27",2010,5240,"434051",37,17,1,2,6,0,130,31,8680,1,0
"28",2010,4700,"411011",39,40,1,2,4,0,12000,21,5790,5,1
"29",2010,4220,"37201X",29,19,1,1,6,0,5000,22,7690,3,1
"30",2010,5700,"436010",17,39,1,2,4,0,20000,21,3190,3,NA
"31",2010,6355,"472111",39,45,2,1,4,0,30000,21,770,4,1
"32",2010,9830,"559830",45,19,1,2,6,0,10000,31,9870,2,NA
"33",2010,430,"119XXX",6,54,1,1,1,0,120000,42,770,1,NA
"34",2010,5840,"439041",12,28,1,2,4,0,20900,31,6990,3,1
"35",2010,7000,"491011",6,58,1,1,1,0,89000,42,7860,3,1
"36",2010,3040,"291041",40,28,1,2,4,0,21000,33,8070,7,0
"37",2010,4220,"37201X",34,42,1,1,4,0,50000,12,7860,2,0
"38",2010,3645,"319092",6,78,1,2,1,0,25700,42,7970,2,0
"39",2010,3850,"333050",17,41,1,1,1,0,70000,21,9470,4,NA
"40",2010,205,"119013",55,69,1,1,1,0,40700,21,180,1,0
"41",2010,7000,"491011",21,47,1,1,1,0,65000,32,3960,2,0
"42",2010,800,"132011",26,46,2,2,6,0,56500,21,7280,5,0
"43",2010,1020,"15113X",26,28,6,1,6,3,60000,21,7380,5,NA
