"","YEAR","OCC","OCCSOC","STATEFIP","AGE","RACE","SEX","MARST","CITIZEN","INCTOT","REGION","IND","EducAttainment","Overeducation"
"1",2012,6515,"472181",48,36,1,1,1,0,31000,33,770,2,1
"2",2012,3255,"291141",6,56,6,2,6,2,88000,42,8190,5,NA
"3",2012,1360,"172051",48,27,1,1,1,0,76000,33,7290,5,0
"4",2012,9620,"537062",27,19,1,1,6,0,8000,22,4870,2,1
"5",2012,230,"119030",51,34,1,2,1,0,58000,31,7890,6,1
"6",2012,4250,"373010",48,58,2,1,1,0,1000,33,7770,1,NA
"7",2012,3255,"291141",19,61,1,2,1,0,30000,22,8290,4,NA
"8",2012,7240,"493050",17,35,1,1,1,0,25000,21,8880,3,1
"9",2012,630,"131070",24,47,1,2,1,0,315000,31,7390,3,1
"10",2012,4010,"351012",48,49,1,1,1,3,65000,33,8680,5,1
"11",2012,5820,"439022",36,20,1,2,6,0,7000,12,7870,2,0
"12",2012,9610,"537061",27,30,1,1,6,0,30000,22,8780,2,1
"13",2012,120,"113031",53,45,1,2,1,0,14400,42,4470,3,0
"14",2012,20,"111021",38,70,1,2,1,0,25430,22,8380,2,0
"15",2012,3255,"291141",25,59,1,2,1,0,17600,11,7970,3,NA
"16",2012,8350,"516050",17,66,1,2,1,2,26300,21,5170,2,1
"17",2012,3850,"333050",22,44,1,1,1,0,75000,33,9470,5,NA
"18",2012,9240,"534031",16,55,1,1,1,0,33000,41,6080,3,1
"19",2012,4760,"412031",13,37,1,1,1,0,70000,31,4790,5,1
"20",2012,5240,"434051",6,25,1,1,6,0,41200,42,4870,2,0
"21",2012,725,"131121",11,24,1,2,6,0,36100,31,9190,5,0
"22",2012,4600,"399011",31,28,1,2,1,1,23700,22,8470,3,1
"23",2012,5240,"434051",36,44,2,1,6,0,6900,12,6570,2,0
"24",2012,3640,"319091",5,28,1,2,3,0,20000,33,7980,3,NA
"25",2012,3255,"291141",13,28,1,2,1,0,73010,31,8180,6,NA
"26",2012,3648,"319096",37,38,1,2,1,3,9000,31,7480,3,1
"27",2012,110,"113021",37,42,1,1,1,0,1e+05,31,9370,3,0
"28",2012,4110,"353031",39,20,1,2,6,0,12000,21,8680,4,1
"29",2012,5820,"439022",29,22,1,2,6,0,24000,22,8090,4,1
"30",2012,2200,"251000",17,70,1,1,1,0,66600,21,7870,7,NA
"31",2012,7750,"512090",39,28,1,1,6,0,16504,21,8390,2,0
"32",2012,8320,"516031",44,41,7,1,1,3,33000,11,1480,2,1
"33",2012,3010,"291020",6,42,8,1,1,0,157000,42,7980,7,0
"34",2012,710,"131111",11,25,1,1,6,0,63000,31,7390,5,0
"35",2012,6200,"471011",6,40,7,1,1,2,70000,42,770,3,1
"36",2012,800,"132011",40,53,1,2,6,0,68200,33,670,5,0
"37",2012,2310,"252020",34,24,1,2,6,0,35000,12,7860,5,0
"38",2012,5550,"435052",6,48,1,1,1,2,57000,42,6370,1,0
"39",2012,3649,"319097",17,58,1,1,4,0,33000,21,8190,3,NA
"40",2012,7340,"499071",55,52,1,1,1,0,1e+05,21,2980,1,0
"41",2012,2310,"252020",20,29,1,2,1,0,30000,22,7860,5,0
"42",2012,5860,"439061",26,19,1,2,6,0,1500,21,7870,2,0
"43",2012,4220,"37201X",26,77,1,1,1,0,25400,21,9370,2,0
"44",2012,700,"131081",6,52,2,1,6,0,35000,42,2190,6,1
"45",2012,5520,"435030",32,58,1,2,4,0,29800,41,8660,3,NA
"46",2012,5860,"439061",36,24,1,2,6,0,9000,12,8290,3,1
"47",2012,7750,"512090",20,52,9,1,1,0,22000,22,3570,2,0
"48",2012,6050,"4520XX",48,69,2,1,1,0,49700,33,180,1,0
"49",2012,4020,"352010",37,59,1,2,1,0,12550,31,8680,2,1
"50",2012,5700,"436010",42,55,1,2,1,0,32000,12,7970,4,NA
"51",2012,2750,"272040",27,48,1,1,1,0,360,22,8560,3,NA
"52",2012,9620,"537062",13,24,2,1,6,0,8000,31,7580,2,1
"53",2012,4220,"37201X",17,54,1,1,1,2,30000,21,7690,6,1
"54",2012,800,"132011",25,64,1,2,1,2,41000,11,5590,6,1
"55",2012,3255,"291141",12,42,1,2,1,0,31000,31,8190,4,NA
"56",2012,1530,"1721YY",55,49,1,1,4,0,82000,21,3070,5,0
"57",2012,4720,"412010",27,57,1,2,1,0,14000,22,4970,2,0
"58",2012,4110,"353031",33,31,1,2,4,0,22000,11,8680,5,1
"59",2012,5810,"439021",48,58,1,1,1,0,6600,33,7860,3,1
"60",2012,4700,"411011",17,32,1,1,1,0,35000,21,5380,5,1
"61",2012,3060,"291060",17,55,1,2,1,0,96370,21,7970,7,NA
"62",2012,3300,"292010",40,64,1,2,1,0,60000,33,8190,5,NA
"63",2012,735,"131161",48,57,1,2,1,0,1e+05,33,4970,5,0
"64",2012,5510,"435021",51,54,1,1,1,0,89000,31,6380,3,1
"65",2012,2300,"252010",17,40,6,2,1,3,30000,21,8470,5,0
"66",2012,5620,"435081",4,18,1,1,1,0,3000,41,4970,1,NA
"67",2012,4600,"399011",51,59,2,2,4,0,29000,31,8470,3,1
"68",2012,5000,"431011",42,41,1,2,1,0,135000,12,6870,3,1
"69",2012,430,"119XXX",39,61,1,1,4,0,35000,21,4380,3,NA
"70",2012,4220,"37201X",18,56,1,1,1,0,39700,21,9160,3,1
"71",2012,2310,"252020",51,51,1,1,1,0,60280,31,7860,5,0
"72",2012,9130,"533030",26,49,1,1,1,0,25000,21,6170,2,0
"73",2012,4030,"352021",51,41,1,2,1,0,6000,31,7860,3,1
"74",2012,2310,"252020",18,57,1,2,1,0,52000,21,7860,6,1
"75",2012,2100,"2310XX",54,51,1,1,1,0,287000,31,7270,7,0
"76",2012,4540,"397010",6,34,1,1,6,1,32000,42,8590,1,NA
"77",2012,4530,"396010",36,42,1,1,1,0,35000,12,8290,4,1
"78",2012,4720,"412010",12,37,2,1,2,3,10000,31,5090,2,0
"79",2012,7750,"512090",18,17,1,1,6,0,15000,21,3570,1,0
"80",2012,6420,"472140",9,54,1,1,1,0,10000,11,770,3,NA
"81",2012,9810,"552010",55,29,1,1,6,0,48000,21,9870,5,NA
"82",2012,540,"131030",6,48,1,2,1,0,35000,42,6990,4,1
"83",2012,9620,"537062",20,57,1,1,4,0,32000,22,2980,2,1
"84",2012,4840,"413099",47,45,1,2,4,0,15000,32,7390,3,NA
"85",2012,4760,"412031",55,38,1,2,1,0,25700,21,5480,4,1
"86",2012,7750,"512090",17,45,1,2,4,0,56000,21,3960,2,0
"87",2012,8750,"519071",4,53,1,1,6,0,24000,41,3980,5,1
"88",2012,520,"131022",48,56,1,2,4,0,43000,33,4470,2,NA
"89",2012,6260,"472061",55,43,1,1,1,0,40000,21,770,3,1
"90",2012,4510,"395012",36,21,1,2,6,0,25000,12,8980,3,NA
"91",2012,2550,"2590XX",28,40,1,2,1,0,40000,32,8190,5,NA
"92",2012,5700,"436010",48,60,1,2,4,0,40000,33,7870,5,NA
"93",2012,5860,"439061",17,35,1,2,3,0,48000,21,7970,3,1
"94",2012,5260,"434071",24,49,1,2,6,0,5100,31,9170,2,0
"95",2012,5860,"439061",36,58,1,2,1,0,37000,12,9380,2,0
"96",2012,5120,"433031",45,65,1,2,1,0,85000,31,1480,3,1
"97",2012,2540,"259041",42,22,4,1,6,3,1000,12,7870,3,NA
"98",2012,1460,"172141",54,28,1,1,1,0,52000,31,570,6,1
"99",2012,430,"119XXX",51,43,7,2,4,0,67000,31,6470,5,NA
"100",2012,5700,"436010",47,44,1,1,1,0,38500,32,8190,3,NA
"101",2012,6050,"4520XX",42,71,1,1,1,0,37000,12,170,2,0
"102",2012,5000,"431011",12,46,2,2,1,0,21400,31,6970,5,1
"103",2012,430,"119XXX",48,53,1,1,1,0,50000,33,7870,2,NA
"104",2012,9120,"533020",5,65,1,1,1,0,39200,33,7860,2,NA
"105",2012,1820,"193030",6,58,1,2,4,0,70000,42,8080,6,NA
"106",2012,5160,"433071",5,20,1,2,6,0,18000,33,6870,3,1
"107",2012,7010,"492011",54,45,1,1,1,0,30600,31,4170,2,NA
"108",2012,4700,"411011",19,40,1,1,1,0,51000,22,4270,3,1
"109",2012,4700,"411011",34,49,1,1,1,0,75000,12,4870,5,1
"110",2012,3160,"291123",25,37,1,1,1,0,175000,11,8190,7,0
"111",2012,4920,"419020",13,67,1,1,1,0,257000,31,7070,5,1
"112",2012,6260,"472061",41,45,1,1,1,0,42000,42,770,2,1
"113",2012,9720,"537081",55,68,1,1,1,0,15700,21,7790,1,0
